FILENAME       TYPE            RA       DEC      exptime DATE	
b160320.000355.fits        48.180400  -84.6327 +16.7000    0.00 2016-03-21T08:00:00	
b160320.000356.fits        48.180400  -84.6327 +16.7000    0.00 2016-03-21T08:00:00	
b160320.000357.fits        48.180400  -84.6327 +16.7000    0.00 2016-03-21T08:00:00	
b160320.000358.fits        51.103400  -84.6290 +10.8200    0.00 2016-03-21T08:00:00	
b160320.000359.fits        51.103400  -84.6290 +10.8200    0.00 2016-03-21T08:00:00	
b160320.000360.fits        51.103400  -84.6290 +10.8200    0.00 2016-03-21T08:00:00	
b160320.000361.fits        52.713300  -84.6269  +8.3900    0.00 2016-03-21T08:00:00	
b160320.000362.fits        52.713300  -84.6269  +8.3900    0.00 2016-03-21T08:00:00	
b160320.000363.fits        52.713300  -84.6269  +8.3900    0.00 2016-03-21T08:00:00	
b160320.000364.fits        54.301100  -84.6248  +6.4500    0.00 2016-03-21T08:00:00	
b160320.000365.fits        54.301100  -84.6248  +6.4500    0.00 2016-03-21T08:00:00	
b160320.000366.fits        54.301100  -84.6248  +6.4500    0.00 2016-03-21T08:00:00	
b160320.000367.fits        55.874400  -84.6227  +4.8800    0.00 2016-03-21T08:00:00	
b160320.000368.fits        55.874400  -84.6227  +4.8800    0.00 2016-03-21T08:00:00	
b160320.000369.fits        55.874400  -84.6227  +4.8800    0.00 2016-03-21T08:00:00	
b160320.000001.fits         Test0320  186.6400 -63.0000   10.00 2016-03-21T01:09:46	
b160320.000002.fits         Test0320  186.6400 -63.0000   10.00 2016-03-21T01:09:59	
b160320.000003.fits         Test0320  186.6400 -63.0000   10.00 2016-03-21T01:10:12	
b160320.000004.fits         Test0320  186.6400 -63.0000   10.00 2016-03-21T01:29:56	
b160320.000005.fits         Test0320  186.6400 -63.0000   10.00 2016-03-21T01:30:10	
b160320.000006.fits         Test0320  186.6400 -63.0000   10.00 2016-03-21T01:30:23	
b160320.000007.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T01:41:16	
b160320.000008.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T01:41:36	
b160320.000009.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T01:41:57	
b160320.000010.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T01:42:18	
b160320.000011.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T01:42:40	
b160320.000012.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T01:43:01	
b160320.000013.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T01:43:23	
b160320.000014.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T01:46:12	
b160320.000015.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T01:46:33	
b160320.000016.fits         Test0320  186.6400 -63.0000    3.00 2016-03-21T01:46:54	
