FILENAME       TYPE            RA       DEC      exptime DATE	
b160424.000082.fits            Focus  186.6400 -63.0000   60.00 2016-04-24T22:03:43	
b160427.000001.fits             FLAT  177.4985 -79.4869   16.76 2016-04-27T17:52:53	
b160427.000002.fits             FLAT  177.4985 -79.4869   16.76 2016-04-27T17:53:13	
b160427.000003.fits             FLAT  177.4985 -79.4869   16.76 2016-04-27T17:53:33	
b160427.000004.fits             FLAT  177.4361 -79.3129   19.62 2016-04-27T17:54:24	
b160427.000005.fits             FLAT  177.4361 -79.3129   19.62 2016-04-27T17:54:46	
b160427.000006.fits             FLAT  177.4361 -79.3129   19.62 2016-04-27T17:55:09	
b160427.000007.fits             FLAT  177.4175 -79.2460   20.86 2016-04-27T17:56:04	
b160427.000008.fits             FLAT  177.4086 -79.2095   21.57 2016-04-27T17:56:54	
b160427.000009.fits             FLAT  177.4011 -79.1756   22.25 2016-04-27T17:57:48	
b160427.000010.fits             FLAT  177.3938 -79.1389   23.01 2016-04-27T17:58:43	
b160427.000011.fits             FLAT  177.3871 -79.1007   23.84 2016-04-27T17:59:38	
b160427.000012.fits             FLAT  177.3815 -79.0639   24.66 2016-04-27T18:00:33	
b160427.000013.fits             FLAT  177.3767 -79.0266   25.53 2016-04-27T18:01:33	
b160427.000014.fits             FLAT  177.3723 -78.9857   26.52 2016-04-27T18:02:34	
b160427.000015.fits             FLAT  177.3689 -78.9433   27.58 2016-04-27T18:03:34	
b160427.000016.fits             FLAT  177.3666 -78.9024   28.66 2016-04-27T18:04:33	
b160427.000017.fits             FLAT  177.3654 -78.8624   29.75 2016-04-27T18:05:35	
b160427.000018.fits             FLAT  177.3650 -78.8198   30.96 2016-04-27T18:06:38	
b160427.000019.fits             FLAT  177.3657 -78.7768   32.24 2016-04-27T18:07:43	
b160427.000020.fits             FLAT  177.3676 -78.7312   33.66 2016-04-27T18:08:48	
b160427.000021.fits             FLAT  177.3705 -78.6870   35.09 2016-04-27T18:09:58	
b160427.000022.fits             FLAT  177.3750 -78.6385   36.75 2016-04-27T18:11:10	
b160427.000023.fits             FLAT  177.3808 -78.5897   38.50 2016-04-27T18:12:23	
b160427.000024.fits             FLAT  177.3883 -78.5381   40.44 2016-04-27T18:13:38	
b160427.000025.fits             FLAT  177.3969 -78.4881   42.43 2016-04-27T18:14:53	
b160427.000026.fits             FLAT  177.4073 -78.4360   44.61 2016-04-27T18:16:09	
b160427.000027.fits             FLAT  177.4193 -78.3828   46.96 2016-04-27T18:17:31	
b160427.000028.fits             FLAT  177.4337 -78.3259   49.62 2016-04-27T18:18:54	
b160427.000029.fits             FLAT  177.4497 -78.2693   52.43 2016-04-27T18:20:19	
b160427.000030.fits             FLAT  177.4683 -78.2094   55.58 2016-04-27T18:21:43	
b160427.000031.fits             FLAT  177.4884 -78.1502   58.87 2016-04-27T18:23:13	
b160427.000036.fits             FLAT  177.6359 -77.8096   81.90 2016-04-27T18:31:38	
b160427.000037.fits             FLAT  177.6768 -77.7321   88.41 2016-04-27T18:33:33	
b160427.000038.fits             FLAT  177.7231 -77.6496   95.95 2016-04-27T18:35:38	
b160427.000039.fits           FF100S  177.7755 -77.5619  100.00 2016-04-27T18:37:48	
b160427.000040.fits           FF100S  177.8330 -77.4713  100.00 2016-04-27T18:40:03	
b160427.000041.fits           FF100S  177.8944 -77.3800  100.00 2016-04-27T18:42:14	
b160427.000042.fits           FF100S  177.9557 -77.2932  100.00 2016-04-27T18:44:30	
