  disk,    ra_min,    ra_max,   dec_min,   dec_max
disk_00,    0.3765,  359.1986,  -62.4896,  -41.9781
disk_01,    0.3765,  359.1986,  -62.4896,  -41.9781
disk_02,    0.3652,  359.1986,  -62.4896,  -41.9781
disk_03,    0.3652,  359.9497,  -62.4896,  -41.9781
disk_04,    0.3652,  359.1986,  -62.4896,  -41.9781
disk_05,    0.3652,  359.9497,  -62.4896,  -41.9781
disk_06,    0.3765,  359.1986,  -62.4896,  -41.9781
disk_07,    0.3765,  359.1986,  -62.4896,  -41.9781
disk_08,    0.3652,  359.9497,  -62.4896,  -41.9781
disk_09,    0.3652,  359.1986,  -62.4896,  -41.9781
disk_10,    0.3652,  359.1986,  -62.4896,  -41.9781
disk_11,    0.3652,  359.9497,  -62.4896,  -41.9781
disk_12,    0.3652,  359.9497,  -62.4896,  -41.9781
disk_13,    0.3652,  359.9497,  -62.4896,  -41.9781
disk_14,    0.3652,  359.9497,  -62.4896,  -41.9781
disk_15,    0.3652,  359.9497,  -69.3584,  -41.9781
disk_16,    0.3652,  359.9497,  -69.1584,  -41.9781
disk_17,    0.3652,  359.9497,  -62.4896,  -41.9781

  whole,    0.3652,  359.9497,  -69.3584,  -41.9781
