gen_time,ra,dec,tg_date_start,tg_date_end,hom0,hom1,hom2,hom3,hom4,hom5,hom6,hom7,hom8,hom9,qos
3,259.935901,-64.883405,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
8,178.816213,-66.419514,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
10,2.239549,-61.163484,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
17,86.875733,-43.666887,2016-03-14,2016-08-14,27,27,27,31,27,27,31,31,27,27,14
18,233.006530,-44.911887,2016-03-14,2016-08-14,28,28,28,28,28,32,36,35,28,28,18
31,66.316140,-58.765192,2016-03-14,2016-08-14,41,34,34,41,38,45,34,34,38,34,14
35,124.227984,-58.093218,2016-03-14,2016-08-14,38,45,38,42,-2,-2,-2,-2,-2,-2,10
58,326.279467,-58.979984,2016-03-14,2016-08-14,68,68,72,61,68,61,65,72,61,68,14
59,11.196127,-51.819751,2016-03-14,2016-08-14,62,72,65,66,-2,-2,-2,-2,-2,-2,13
59,263.245921,-64.255203,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
61,9.992684,-48.544408,2016-03-14,2016-08-14,70,72,76,80,69,76,80,69,73,76,19
65,221.029045,-50.612480,2016-03-14,2016-08-14,75,80,79,84,75,-2,-2,-2,-2,-2,19
68,124.446836,-66.634674,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
70,113.456945,-58.917351,2016-03-14,2016-08-14,83,80,84,88,80,74,78,80,84,79,18
111,280.658295,-55.351379,2016-03-14,2016-08-14,158,121,114,125,118,129,122,133,126,152,47
123,23.757013,-64.348056,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
127,3.844336,-67.340184,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
161,57.426508,-46.698863,2016-03-14,2016-08-14,171,171,175,175,179,164,176,183,171,175,22
