gen_time,ra,dec,tg_date_start,tg_date_end,hom0,hom1,hom2,hom3,hom4,hom5,hom6,hom7,hom8,hom9,qos
12,2.100000,-56.800000,2016-03-14,2016-08-14,24,24,24,24,24,24,24,24,24,24,12
14,125.200000,-42.900000,2016-03-14,2016-08-14,28,32,36,40,44,48,52,56,60,64,50
14,352.000000,-61.500000,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
21,131.000000,-69.500000,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
25,35.200000,-68.000000,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
26,235.500000,-40.200000,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
31,23.200000,-47.600000,2016-03-14,2016-08-14,68,72,76,80,84,88,92,96,100,104,73
32,92.800000,-60.800000,2016-03-14,2016-08-14,108,112,116,120,124,128,132,136,140,144,112
33,93.000000,-58.000000,2016-03-14,2016-08-14,148,152,156,160,164,168,172,176,180,184,151
69,181.000000,-57.800000,2016-03-14,2016-08-14,81,81,81,81,81,81,85,81,81,81,16
77,245.800000,-53.700000,2016-03-14,2016-08-14,89,93,97,101,105,109,113,117,121,125,48
100,197.700000,-59.000000,2016-03-14,2016-08-14,129,133,137,141,145,149,153,157,161,165,65
111,179.500000,-47.800000,2016-03-14,2016-08-14,123,123,123,123,114,123,123,169,123,123,58
137,227.400000,-62.700000,2016-03-14,2016-08-14,173,177,181,185,189,193,197,201,205,209,72
154,285.700000,-57.100000,2016-03-14,2016-08-14,166,170,174,166,178,157,182,186,166,166,32
168,80.900000,-56.100000,2016-03-14,2016-08-14,190,194,198,202,206,210,214,218,222,226,58
189,124.700000,-65.200000,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
194,304.100000,-60.400000,2016-03-14,2016-08-14,206,206,206,197,206,206,206,206,206,206,12
213,301.800000,-68.700000,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
226,254.600000,-64.700000,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
230,123.400000,-64.800000,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
256,19.500000,-48.300000,2016-03-14,2016-08-14,268,268,272,268,268,268,259,268,268,268,16
271,322.400000,-48.700000,2016-03-14,2016-08-14,276,280,284,288,292,296,300,304,308,312,41
286,340.300000,-43.900000,2016-03-14,2016-08-14,316,320,324,328,332,336,340,344,348,352,66
299,324.400000,-54.400000,2016-03-14,2016-08-14,311,311,315,315,319,319,311,311,323,323,24
304,111.500000,-60.800000,2016-03-14,2016-08-14,327,331,335,-2,-2,-2,-2,-2,-2,-2,31
312,279.400000,-58.900000,2016-03-14,2016-08-14,339,343,347,351,355,359,363,367,371,375,63
317,220.800000,-61.100000,2016-03-14,2016-08-14,379,383,387,391,395,-2,-2,-2,-2,-2,78
319,131.600000,-45.000000,2016-03-14,2016-08-14,399,403,407,411,415,419,423,427,431,435,116
340,130.200000,-65.300000,2016-03-14,2016-08-14,352,-2,-2,-2,-2,-2,-2,-2,-2,-2,12
343,242.300000,-49.700000,2016-03-14,2016-08-14,355,355,-2,-2,-2,-2,-2,-2,-2,-2,12
368,226.700000,-46.000000,2016-03-14,2016-08-14,380,380,380,384,380,380,380,384,380,380,16
370,88.600000,-63.000000,2016-03-14,2016-08-14,388,392,396,400,404,408,412,416,420,424,54
375,61.800000,-51.200000,2016-03-14,2016-08-14,428,432,436,440,444,448,452,456,460,464,89
380,58.600000,-53.400000,2016-03-14,2016-08-14,468,472,476,480,484,488,492,496,500,504,124
399,155.100000,-68.300000,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
402,318.100000,-51.900000,2016-03-14,2016-08-14,508,512,516,520,524,528,532,536,540,544,142
406,334.600000,-61.200000,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
429,299.600000,-55.600000,2016-03-14,2016-08-14,441,441,441,441,445,548,445,441,449,449,119
431,252.800000,-54.500000,2016-03-14,2016-08-14,453,457,461,465,469,473,477,481,485,489,58
445,148.000000,-41.300000,2016-03-14,2016-08-14,493,497,501,505,509,513,517,521,525,529,84
445,156.500000,-58.200000,2016-03-14,2016-08-14,533,537,541,545,549,553,557,561,565,569,124
446,250.200000,-57.200000,2016-03-14,2016-08-14,573,577,581,585,589,593,597,601,605,609,163
458,306.200000,-63.700000,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
484,60.000000,-52.200000,2016-03-14,2016-08-14,496,496,500,496,500,496,496,504,508,496,24
489,117.200000,-48.900000,2016-03-14,2016-08-14,512,516,520,524,528,532,536,540,544,-2,55
505,191.900000,-64.200000,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
519,2.800000,-52.600000,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
532,321.700000,-57.600000,2016-03-14,2016-08-14,544,544,544,544,544,544,544,544,544,544,12
534,341.600000,-57.600000,2016-03-14,2016-08-14,548,552,556,560,564,568,572,576,580,584,50
534,90.300000,-63.800000,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
569,230.000000,-56.100000,2016-03-14,2016-08-14,588,592,596,600,604,608,612,616,620,624,55
570,189.200000,-41.700000,2016-03-14,2016-08-14,628,632,-2,-2,-2,-2,-2,-2,-2,-2,62
593,239.100000,-59.500000,2016-03-14,2016-08-14,605,609,605,609,605,605,605,609,609,609,16
594,204.600000,-67.500000,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
615,242.200000,-55.100000,2016-03-14,2016-08-14,618,622,626,630,634,638,642,646,-2,-2,31
622,320.200000,-42.500000,2016-03-14,2016-08-14,650,654,658,662,666,670,674,678,682,686,64
660,293.800000,-46.700000,2016-03-14,2016-08-14,672,672,672,676,672,676,680,676,-2,-2,20
665,280.100000,-45.500000,2016-03-14,2016-08-14,684,688,692,696,700,704,708,712,716,720,55
668,311.800000,-69.400000,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
670,12.800000,-47.200000,2016-03-14,2016-08-14,724,728,732,736,740,744,748,752,756,760,90
672,257.400000,-42.200000,2016-03-14,2016-08-14,764,768,772,776,780,784,-2,-2,-2,-2,112
675,264.900000,-44.300000,2016-03-14,2016-08-14,788,792,796,800,804,808,812,816,820,-2,145
683,327.200000,-44.300000,2016-03-14,2016-08-14,824,828,832,836,840,844,848,852,856,860,177
693,124.600000,-67.200000,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
693,163.400000,-45.400000,2016-03-14,2016-08-14,705,705,705,705,705,705,705,705,696,705,12
695,331.000000,-61.400000,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
704,270.400000,-68.500000,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
720,198.500000,-68.900000,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
737,251.100000,-51.500000,2016-03-14,2016-08-14,749,749,749,749,749,749,749,749,749,749,12
761,335.200000,-54.000000,2016-03-14,2016-08-14,764,768,772,776,780,784,788,792,796,800,39
774,248.500000,-67.700000,2016-03-14,2016-08-14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0
