disk_id,   hit_count,   start_times,     energy
      0,         452,            22,    29361.1
      1,         150,            11,    11345.4
      2,          15,            14,     6992.5
      3,          10,             8,     3368.8
      4,          44,            19,    10991.7
      5,           6,             6,     2540.7
      6,         109,            18,    12819.7
      7,          13,            12,     5413.6
      8,          39,            14,     9354.7
      9,         112,            19,    15735.5
     10,           8,             6,     2723.2
     11,           8,             6,     2546.3
     12,          58,            21,    16853.3
     13,          58,            10,     6503.9
     14,         107,            14,    11648.1
     15,          61,            14,     9738.2
     16,          12,            12,     5301.0
     17,          58,            18,    10954.9
     18,          43,            14,     9473.8
     19,          48,            20,    12982.1
     20,          37,             9,     5088.1
     21,           1,             1,      396.0
     22,         109,            20,    14287.5
     23,           4,             4,     1675.5
     24,          36,            27,    16859.9
     25,          11,             8,     3987.7
     26,         410,            25,    27914.3
     27,           5,             3,     1242.4
     28,         135,            26,    19096.6
     29,          70,            19,    11369.5
     30,          16,            14,     6537.8
     31,          96,            13,     9969.7
     32,          76,            22,    18153.5
     33,          47,            11,     6305.1
     34,          12,             8,     3976.8
     35,          91,            12,     7925.6
     36,          14,            10,     4660.5
     37,          94,            17,    13328.8
     38,          75,            12,     8031.6
     39,          66,            12,     7550.6
     40,          45,             5,     3354.7
     41,         104,            15,    11148.5
     42,         142,            16,    14093.2
     43,         224,            10,    12944.7
     44,         104,            19,    12477.3
     45,         572,            19,    32166.9
     46,         280,            14,    18357.4
     47,         135,            29,    22322.5
     48,          53,            20,    13154.7
     49,          20,            19,    10131.5
     50,         426,            24,    32573.7
     51,         136,            28,    25500.3
     52,          32,            27,    16464.4
     53,         354,            24,    29816.7
     54,         146,            28,    20760.3
     55,          33,            24,    18575.5
     56,          39,            33,    20782.0
     57,          68,            23,    17645.9
     58,          69,            33,    26684.9
     59,          35,            29,    18607.3
     60,          49,            22,    19826.6
     61,          29,            22,    14739.6
     62,          45,            37,    23897.6
     63,          47,            23,    15202.4
     64,         108,            37,    26940.2
     65,         183,            25,    27074.3
     66,          88,            38,    29733.2
     67,          45,            30,    20431.5
     68,         125,            27,    24384.7
     69,          19,            18,     9430.5

Total start times: 1269.
Average start times per disk: 18.128571.

Total energy consumed: 974.229000 kJ.
Average energy consumed per second: 95.775560 J.

Average opened disks per second: 10.472473.
