  disk,    ra_min,    ra_max,   dec_min,   dec_max
disk_00,    0.3765,  358.5620,  -62.4896,  -44.9083
disk_01,    1.3193,  359.1986,  -59.5594,  -44.9083
disk_02,    0.3765,  358.0205,  -62.4896,  -41.9781
disk_03,    0.6395,  358.5620,  -59.5594,  -41.9781
disk_04,    1.3193,  359.1986,  -62.4896,  -41.9781
disk_05,    0.3765,  358.5620,  -59.5594,  -50.7687
disk_06,    1.3193,  359.1986,  -50.7687,  -41.9781
disk_07,    0.3765,  358.5620,  -62.4896,  -47.8385
disk_08,    0.6395,  359.1986,  -56.6292,  -41.9781
disk_09,    0.3652,  358.5620,  -62.4896,  -41.9781
disk_10,    0.3765,  358.3955,  -59.5594,  -50.7687
disk_11,    1.3193,  359.1986,  -50.7687,  -41.9781
disk_12,    0.3652,  359.9497,  -62.4896,  -41.9781
disk_13,    0.3765,  358.3955,  -56.6292,  -44.9083
disk_14,    0.3652,  359.1986,  -62.4896,  -41.9781
disk_15,    0.3765,  358.0205,  -59.5594,  -50.7687
disk_16,    0.3652,  359.1986,  -56.6292,  -44.9083
disk_17,    1.3304,  358.5620,  -62.4896,  -41.9781
disk_18,    0.3765,  358.3955,  -56.6292,  -41.9781
disk_19,    0.3652,  359.1986,  -62.4896,  -41.9781
disk_20,    0.3765,  358.3955,  -62.4896,  -47.8385
disk_21,    0.3652,  359.9497,  -50.7687,  -41.9781
disk_22,    0.6395,  358.5620,  -62.4896,  -41.9781
disk_23,    0.3765,  359.1986,  -56.6292,  -41.9781
disk_24,    0.5819,  358.5620,  -62.4896,  -41.9781
disk_25,    0.3765,  359.1986,  -56.6292,  -41.9781
disk_26,    0.5819,  358.5620,  -62.4896,  -41.9781
disk_27,    0.3765,  359.1986,  -53.6989,  -41.9781
disk_28,    0.5819,  358.5620,  -62.4896,  -41.9781
disk_29,    0.6395,  359.1986,  -62.4896,  -41.9781
disk_30,    0.3765,  358.5620,  -59.5594,  -41.9781
disk_31,    0.6395,  358.3955,  -53.6989,  -41.9781
disk_32,    0.5819,  359.1986,  -62.4896,  -41.9781
disk_33,    0.3652,  359.1986,  -62.4896,  -44.9083
disk_34,    1.3304,  359.9497,  -62.4896,  -41.9781
disk_35,    0.3765,  358.0205,  -59.5594,  -41.9781
disk_36,    0.3765,  359.1986,  -59.5594,  -44.9083
disk_37,    0.3652,  358.3499,  -62.4896,  -41.9781
disk_38,    0.3765,  358.5620,  -59.5594,  -47.8385
disk_39,    0.3765,  359.1986,  -62.4896,  -41.9781
disk_40,    0.3652,  359.1986,  -53.6989,  -44.9083
disk_41,    0.5819,  358.5620,  -62.4896,  -41.9781
disk_42,    0.3765,  358.5620,  -59.5594,  -41.9781
disk_43,    0.3652,  359.9497,  -62.4896,  -41.9781
disk_44,    0.3765,  358.5620,  -59.5594,  -47.8385
disk_45,    0.3652,  359.9497,  -56.6292,  -41.9781
disk_46,    0.3765,  358.5620,  -62.4896,  -41.9781
disk_47,    0.3652,  359.9497,  -59.5594,  -41.9781
disk_48,    1.3304,  358.5620,  -62.4896,  -41.9781
disk_49,    0.3765,  359.1986,  -59.5594,  -44.9083
disk_50,    0.3652,  359.9497,  -59.5594,  -41.9781
disk_51,    0.3765,  358.5620,  -62.4896,  -41.9781
disk_52,    0.3652,  359.9497,  -59.5594,  -41.9781
disk_53,    0.3765,  359.1986,  -62.4896,  -41.9781
disk_54,    0.3652,  359.9497,  -59.5594,  -41.9781
disk_55,    0.6395,  359.1986,  -62.4896,  -41.9781
disk_56,    0.3652,  359.9497,  -56.6292,  -41.9781
disk_57,    0.6395,  359.1986,  -59.5594,  -41.9781
disk_58,    0.3765,  358.0205,  -62.4896,  -41.9781
disk_59,    0.3652,  359.9497,  -59.5594,  -41.9781
disk_60,    1.3193,  359.1986,  -69.3584,  -41.9781
disk_61,    0.3765,  359.1986,  -59.5594,  -44.9083
disk_62,    0.3652,  359.9497,  -62.4896,  -41.9781
disk_63,    0.3765,  358.5620,  -59.5594,  -47.8385
disk_64,    0.3652,  359.9497,  -56.6292,  -41.9781
disk_65,    0.3765,  358.5620,  -69.1584,  -44.9083
disk_66,    0.3652,  359.9497,  -59.5594,  -41.9781
disk_67,    0.6395,  359.1986,  -62.4896,  -41.9781
disk_68,    0.3765,  359.1986,  -59.5594,  -47.8385
disk_69,    0.3652,  358.3499,  -50.7687,  -41.9781

  whole,    0.3652,  359.9497,  -69.3584,  -41.9781
