disk_id,   hit_count,   start_times,     energy
      0,         158,            51,    41522.3
      1,         111,            33,    24614.1
      2,          68,            40,    30009.4
      3,          28,            20,    13627.6
      4,          76,            42,    32062.6
      5,          36,            27,    18555.7
      6,          93,            41,    31686.5
      7,          52,            32,    24415.6
      8,          70,            44,    30508.1
      9,         119,            47,    35515.4
     10,          62,            26,    19815.2
     11,          33,            21,    14016.5
     12,         136,            55,    43924.1
     13,          58,            37,    27264.6
     14,          69,            35,    24892.5
     15,          90,            32,    25357.7
     16,          33,            23,    16596.3
     17,          75,            38,    30249.1
     18,          92,            38,    30235.7
     19,         113,            48,    37441.2
     20,          55,            27,    21116.0
     21,          21,             9,     6086.4
     22,          78,            43,    31485.4
     23,          29,            18,    12099.8
     24,         113,            54,    41874.4
     25,          36,            22,    15644.2
     26,          89,            46,    34550.2
     27,          12,             8,     5228.8
     28,         108,            51,    38228.6
     29,          77,            40,    28954.9
     30,          54,            33,    23490.7
     31,          87,            42,    31245.5
     32,         130,            48,    39654.3
     33,          58,            29,    20971.4
     34,          41,            26,    17346.9
     35,          71,            33,    23471.2
     36,          46,            24,    16696.5
     37,          90,            38,    31431.8
     38,          74,            33,    25712.2
     39,          71,            31,    24283.0
     40,          35,            20,    13391.0
     41,          85,            39,    29346.6
     42,         103,            40,    31284.7
     43,          75,            33,    24391.3
     44,          79,            38,    27911.8
     45,         152,            46,    39838.4
     46,         109,            48,    36429.6
     47,         110,            47,    36990.8
     48,         104,            47,    37889.0
     49,          72,            41,    30139.3
     50,         193,            47,    47068.6
     51,         130,            52,    44423.5
     52,         116,            52,    42645.8
     53,         154,            57,    49464.0
     54,         110,            57,    43625.1
     55,         137,            50,    44425.3
     56,         107,            54,    41619.7
     57,         129,            57,    44465.2
     58,         158,            54,    48063.8
     59,         117,            55,    45231.2
     60,         173,            51,    47816.8
     61,         114,            44,    35852.9
     62,         126,            57,    46006.2
     63,         116,            48,    41628.1
     64,         112,            59,    45155.2
     65,         198,            53,    50362.9
     66,         149,            52,    47850.0
     67,         130,            55,    44401.4
     68,         139,            54,    46034.2
     69,          88,            47,    36038.6

Total start times: 2839.
Average start times per disk: 40.557143.

Total energy consumed: 2241.673400 kJ.
Average energy consumed per second: 223.007700 J.

Average opened disks per second: 25.115897.
